Account_ID,Customer_ID,Branch_ID,Account_Type,Open_Date,Balance,Account_Status
ACC02498,CUST02498,BR041,Savings,2021-11-25,68869.93,Active
ACC02650,CUST02650,BR041,Savings,2023-08-31,53028.88,Active
ACC02683,CUST02683,BR041,Savings,2024-02-08,45533.18,Active
ACC02839,CUST02839,BR041,Savings,2024-05-29,36687.22,Active
ACC02851,CUST02851,BR041,Savings,2022-09-28,57494.25,Active
ACC02944,CUST02944,BR041,Savings,2021-11-04,8780.73,Active
ACC02946,CUST02946,BR041,Savings,2024-03-15,61311.71,Active
ACC03009,CUST03009,BR041,Savings,2021-11-06,124005.11,Active
ACC03031,CUST03031,BR041,Savings,2024-02-05,36196.37,Active
ACC03045,CUST03045,BR041,Savings,2022-10-13,31927.3,Active
ACC03070,CUST03070,BR041,Savings,2024-03-16,160504.2,Active
ACC03256,CUST03256,BR041,Savings,2022-10-31,33013.96,Active
ACC03273,CUST03273,BR041,Savings,2021-03-19,114840.97,Active
ACC03329,CUST03329,BR041,Savings,2023-08-20,12083.64,Active
ACC03606,CUST03606,BR041,Savings,2021-02-12,40229.82,Active
ACC03823,CUST03823,BR041,Savings,2023-05-06,60271.24,Active
ACC03890,CUST03890,BR041,Savings,2021-03-27,55869.97,Active
ACC03900,CUST03900,BR041,Savings,2022-02-08,51829.65,Active
ACC03955,CUST03955,BR041,Savings,2021-11-13,97897.47,Active
ACC04010,CUST04010,BR041,Savings,2023-12-14,65160.09,Active
ACC04030,CUST04030,BR041,Savings,2021-12-17,57457.61,Active
ACC04086,CUST04086,BR041,Savings,2023-12-19,104914.8,Active
ACC04190,CUST04190,BR041,Savings,2022-04-08,20577.63,Active
ACC04224,CUST04224,BR041,Savings,2022-02-28,44473.15,Active
ACC04261,CUST04261,BR041,Savings,2024-05-16,22082.75,Active
ACC04276,CUST04276,BR041,Savings,2023-03-21,93579.4,Active
ACC04304,CUST04304,BR041,Savings,2024-01-12,40284.87,Active
ACC04339,CUST04339,BR041,Savings,2021-11-28,26346.15,Active
ACC04474,CUST04474,BR041,Savings,2022-04-19,30885.25,Active
ACC04485,CUST04485,BR041,Savings,2022-12-24,38259.86,Active
ACC04541,CUST04541,BR041,Savings,2021-07-30,78533.48,Active
ACC04627,CUST04627,BR041,Savings,2021-11-03,55652.4,Active
ACC04630,CUST04630,BR041,Savings,2022-09-16,64615.93,Active
ACC04640,CUST04640,BR041,Savings,2023-04-12,27950.97,Active
ACC04651,CUST04651,BR041,Savings,2022-05-02,106367.28,Active
ACC04662,CUST04662,BR041,Savings,2021-07-18,34670.42,Active
ACC04671,CUST04671,BR041,Savings,2021-06-29,112057.23,Active
ACC04698,CUST04698,BR041,Savings,2021-12-12,50655.46,Active
ACC04753,CUST04753,BR041,Savings,2023-07-18,74998.72,Active
ACC04822,CUST04822,BR041,Savings,2022-01-12,84819.41,Active
ACC04861,CUST04861,BR041,Savings,2024-04-22,22613.35,Active
ACC04896,CUST04896,BR041,Savings,2021-03-16,244327.16,Active
ACC04899,CUST04899,BR041,Savings,2023-01-10,43736.86,Active
ACC04909,CUST04909,BR041,Savings,2023-03-08,16128.56,Active
ACC04914,CUST04914,BR041,Savings,2021-12-18,33379.62,Active
ACC04973,CUST04973,BR041,Savings,2022-03-02,126741.28,Active
ACC04990,CUST04990,BR041,Savings,2024-04-19,196436.95,Active
ACC04997,CUST04997,BR041,Savings,2022-11-02,187810.31,Active
ACC00120,CUST00120,BR037,Savings,2022-02-11,23364.54,Active
ACC00128,CUST00128,BR037,Savings,2023-03-04,18714.36,Active
ACC00231,CUST00231,BR037,Savings,2023-07-01,51620.57,Active
ACC00407,CUST00407,BR037,Savings,2022-12-07,10775.9,Active
ACC00530,CUST00530,BR037,Savings,2023-06-15,83681.84,Active
ACC00713,CUST00713,BR037,Savings,2022-11-18,194312.89,Active
ACC00875,CUST00875,BR037,Savings,2024-02-17,114240.69,Active
ACC01046,CUST01046,BR037,Savings,2024-04-21,35384.78,Active
ACC01067,CUST01067,BR037,Savings,2023-10-05,167230.09,Active
ACC01121,CUST01121,BR037,Savings,2024-05-27,19663.35,Active
ACC01140,CUST01140,BR037,Savings,2022-11-20,24016.46,Active
ACC01344,CUST01344,BR037,Savings,2023-10-27,136602.53,Active
ACC01438,CUST01438,BR037,Savings,2024-05-04,102050.96,Active
ACC01480,CUST01480,BR037,Savings,2023-06-15,183676.55,Active
ACC01515,CUST01515,BR037,Savings,2022-02-12,62767.07,Active
ACC01528,CUST01528,BR037,Savings,2022-10-18,193870.29,Active
ACC01561,CUST01561,BR037,Savings,2022-01-06,49642.92,Active
ACC01575,CUST01575,BR037,Savings,2024-06-19,21372.2,Active
ACC01586,CUST01586,BR037,Savings,2023-10-08,121707.17,Active
ACC01669,CUST01669,BR037,Savings,2022-01-02,52302.48,Active
ACC01680,CUST01680,BR037,Savings,2022-01-07,230972.08,Active
ACC01768,CUST01768,BR037,Savings,2021-01-24,22882.18,Active
ACC01824,CUST01824,BR037,Savings,2022-05-19,37318.25,Active
ACC01934,CUST01934,BR037,Savings,2023-06-26,11018.46,Active
ACC01990,CUST01990,BR037,Savings,2023-11-04,68236.14,Active
ACC02012,CUST02012,BR037,Savings,2022-02-23,79585.97,Active
ACC02035,CUST02035,BR037,Savings,2023-09-20,32214.59,Active
ACC02179,CUST02179,BR037,Savings,2024-03-23,320228.6,Active
ACC02196,CUST02196,BR037,Savings,2021-09-24,44062.86,Active
ACC02275,CUST02275,BR037,Savings,2023-01-27,32934.48,Active
ACC02328,CUST02328,BR037,Savings,2024-01-26,7098.96,Active
ACC02344,CUST02344,BR037,Savings,2023-06-29,126633.16,Active
ACC02353,CUST02353,BR037,Savings,2022-04-19,129089.93,Active
ACC02413,CUST02413,BR037,Savings,2023-03-17,16574.95,Active
ACC02523,CUST02523,BR037,Savings,2022-06-28,27250.75,Active
ACC02651,CUST02651,BR037,Savings,2021-12-21,21437.84,Active
ACC02753,CUST02753,BR037,Savings,2022-02-08,108559.36,Active
ACC02789,CUST02789,BR037,Savings,2022-11-10,61767.89,Active
ACC02834,CUST02834,BR037,Savings,2021-07-10,104342.68,Active
ACC02952,CUST02952,BR037,Savings,2021-11-16,78077.74,Active
ACC03001,CUST03001,BR037,Savings,2022-12-29,142660.69,Active
ACC03002,CUST03002,BR037,Savings,2023-08-07,17174.65,Active
ACC03043,CUST03043,BR037,Savings,2023-10-08,38196.76,Active
ACC03093,CUST03093,BR037,Savings,2022-06-27,135284.44,Active
ACC03128,CUST03128,BR037,Savings,2023-12-08,26336.78,Active
ACC03154,CUST03154,BR037,Savings,2024-03-28,243982.88,Active
ACC03174,CUST03174,BR037,Savings,2022-03-06,62759.59,Active
ACC03201,CUST03201,BR037,Savings,2022-05-25,20248.33,Active
ACC03284,CUST03284,BR037,Savings,2021-12-17,41343,Active
ACC03290,CUST03290,BR037,Savings,2022-10-15,39734.48,Active
ACC03392,CUST03392,BR037,Savings,2023-07-01,41975.31,Active
ACC03411,CUST03411,BR037,Savings,2024-02-29,36633.73,Active
ACC03488,CUST03488,BR037,Savings,2022-02-10,53429.81,Active
ACC03570,CUST03570,BR037,Savings,2022-05-04,99875.82,Active
ACC03659,CUST03659,BR037,Savings,2022-07-13,36005.06,Active
ACC03686,CUST03686,BR037,Savings,2021-08-22,18852.83,Active
ACC03787,CUST03787,BR037,Savings,2021-10-21,89450.19,Active
ACC03844,CUST03844,BR037,Savings,2021-12-14,51880.33,Active
ACC03945,CUST03945,BR037,Savings,2022-02-02,79953.19,Active
ACC04073,CUST04073,BR037,Savings,2022-01-09,19272.85,Active
ACC04147,CUST04147,BR037,Savings,2022-12-30,33683.25,Active
ACC04186,CUST04186,BR037,Savings,2024-03-26,73135.35,Active
ACC04253,CUST04253,BR037,Savings,2021-07-04,24882.86,Active
ACC04342,CUST04342,BR037,Savings,2021-07-06,108126.94,Active
ACC04408,CUST04408,BR037,Savings,2021-07-19,36194.89,Active
ACC04414,CUST04414,BR037,Savings,2021-04-09,58080.22,Active
ACC04451,CUST04451,BR037,Savings,2022-08-23,49094.99,Active
ACC04465,CUST04465,BR037,Savings,2022-10-12,305891.38,Active
ACC04492,CUST04492,BR037,Savings,2022-01-03,64096.49,Active
ACC04510,CUST04510,BR037,Savings,2024-04-23,18669.49,Active
ACC04575,CUST04575,BR037,Savings,2022-08-17,101969.19,Active
ACC04687,CUST04687,BR037,Savings,2022-07-19,265209.27,Active
ACC04816,CUST04816,BR037,Savings,2023-11-23,114293.22,Active
ACC04876,CUST04876,BR037,Savings,2021-09-09,106199.5,Active
ACC00046,CUST00046,BR026,Savings,2023-10-01,404013.89,Active
ACC00129,CUST00129,BR026,Savings,2022-05-21,110568.99,Active
ACC00144,CUST00144,BR026,Savings,2023-06-14,70759.71,Active
ACC00201,CUST00201,BR026,Savings,2022-12-31,17881.15,Active
ACC00233,CUST00233,BR026,Savings,2024-04-08,77781.15,Active
ACC00242,CUST00242,BR026,Savings,2022-02-28,38319.03,Active
ACC00273,CUST00273,BR026,Savings,2021-03-12,25848.33,Active
ACC00280,CUST00280,BR026,Savings,2021-03-27,55838.85,Active
ACC00324,CUST00324,BR026,Savings,2022-01-31,110573.03,Active
ACC00361,CUST00361,BR026,Savings,2022-11-28,267907.82,Active
ACC00379,CUST00379,BR026,Savings,2021-05-25,16221.81,Active
ACC00425,CUST00425,BR026,Savings,2022-09-21,242976.35,Active
ACC00504,CUST00504,BR026,Savings,2021-01-23,38681.14,Active
ACC00663,CUST00663,BR026,Savings,2022-12-16,253352.56,Active
ACC00703,CUST00703,BR026,Savings,2023-06-04,18652.78,Active
ACC00851,CUST00851,BR026,Savings,2023-01-26,21128.99,Active
ACC01027,CUST01027,BR026,Savings,2023-08-18,35172.82,Active
ACC01077,CUST01077,BR026,Savings,2023-09-19,37898.35,Active
ACC01295,CUST01295,BR026,Savings,2023-09-01,71229.8,Active
ACC01343,CUST01343,BR026,Savings,2023-02-05,31808.05,Active
ACC01347,CUST01347,BR026,Savings,2024-05-25,76462.43,Active
ACC01404,CUST01404,BR026,Savings,2021-09-29,72086.21,Active
ACC01420,CUST01420,BR026,Savings,2023-12-20,90593.85,Active
ACC01453,CUST01453,BR026,Savings,2024-02-09,24751.53,Active
ACC01497,CUST01497,BR026,Savings,2023-01-03,26025.18,Active
ACC01539,CUST01539,BR026,Savings,2023-05-26,24149.88,Active
ACC01621,CUST01621,BR026,Savings,2021-10-24,42671.46,Active
ACC01625,CUST01625,BR026,Savings,2022-01-27,155782.62,Active
ACC01705,CUST01705,BR026,Savings,2022-12-05,96459.39,Active
ACC01718,CUST01718,BR026,Savings,2021-05-13,102279.1,Active
ACC01750,CUST01750,BR026,Savings,2022-10-09,54465.79,Active
ACC01817,CUST01817,BR026,Savings,2022-02-06,13749.08,Active
ACC01969,CUST01969,BR026,Savings,2023-09-16,91250.44,Active
ACC02018,CUST02018,BR026,Savings,2021-03-05,53594.47,Active
ACC02126,CUST02126,BR026,Savings,2021-06-15,54279.8,Active
ACC02145,CUST02145,BR026,Savings,2022-09-18,291493.02,Active
ACC02274,CUST02274,BR026,Savings,2022-05-30,30384.46,Active
ACC02277,CUST02277,BR026,Savings,2022-06-20,63472.22,Active
ACC02326,CUST02326,BR026,Savings,2021-12-01,16378.88,Active
ACC02372,CUST02372,BR026,Savings,2023-02-16,35280.77,Active
ACC02535,CUST02535,BR026,Savings,2022-09-06,15331.14,Active
ACC02567,CUST02567,BR026,Savings,2022-07-08,23948.49,Active
ACC02613,CUST02613,BR026,Savings,2024-02-08,85406.61,Active
ACC02675,CUST02675,BR026,Savings,2022-09-02,153359.57,Active
ACC02693,CUST02693,BR026,Savings,2023-01-04,115871.66,Active
ACC02757,CUST02757,BR026,Savings,2021-11-08,47580.39,Active
ACC02799,CUST02799,BR026,Savings,2021-11-30,16855.46,Active
ACC03086,CUST03086,BR026,Savings,2021-04-25,181655.35,Active
ACC03107,CUST03107,BR026,Savings,2022-06-24,27103.39,Active
ACC03182,CUST03182,BR026,Savings,2023-11-04,59604.42,Active
ACC03195,CUST03195,BR026,Savings,2024-02-10,111535.03,Active
ACC03222,CUST03222,BR026,Savings,2021-09-18,132030.13,Active
ACC03479,CUST03479,BR026,Savings,2023-07-21,130085.1,Active
ACC03491,CUST03491,BR026,Savings,2022-08-06,45875.85,Active
ACC03497,CUST03497,BR026,Savings,2023-06-23,30381.53,Active
ACC03537,CUST03537,BR026,Savings,2022-11-10,85494.61,Active
ACC03558,CUST03558,BR026,Savings,2022-12-18,70042.95,Active
ACC03644,CUST03644,BR026,Savings,2022-06-27,28970.6,Active
ACC03683,CUST03683,BR026,Savings,2023-10-27,58523.31,Active
ACC03755,CUST03755,BR026,Savings,2022-06-16,24821.38,Active
ACC03764,CUST03764,BR026,Savings,2023-05-15,407236.91,Active
ACC03796,CUST03796,BR026,Savings,2022-04-20,60276.37,Active
ACC03883,CUST03883,BR026,Savings,2022-12-16,52944.93,Active
ACC03944,CUST03944,BR026,Savings,2023-01-21,293591.95,Active
ACC04097,CUST04097,BR026,Savings,2023-01-31,76147.35,Active
ACC04142,CUST04142,BR026,Savings,2023-04-14,41935.94,Active
ACC04145,CUST04145,BR026,Savings,2024-02-15,78926.6,Active
ACC04307,CUST04307,BR026,Savings,2024-02-04,62030.5,Active
ACC04368,CUST04368,BR026,Savings,2022-05-16,168847.34,Active
ACC04373,CUST04373,BR026,Savings,2022-04-24,44174.91,Active
ACC04799,CUST04799,BR026,Savings,2021-12-02,95064.32,Active
ACC04818,CUST04818,BR026,Savings,2023-11-19,44935.92,Active
ACC04931,CUST04931,BR026,Savings,2023-04-19,48431.63,Active
ACC04976,CUST04976,BR026,Savings,2022-06-02,34546.24,Active
ACC00005,CUST00005,BR019,Savings,2024-05-07,25617.16,Active
ACC00089,CUST00089,BR019,Savings,2023-11-05,29838.46,Active
ACC00115,CUST00115,BR019,Savings,2023-02-03,77980.13,Active
ACC00276,CUST00276,BR019,Savings,2023-05-24,71138.66,Active
ACC00333,CUST00333,BR019,Savings,2023-10-29,161608.32,Active
ACC00355,CUST00355,BR019,Savings,2022-10-23,26375.81,Active
ACC00368,CUST00368,BR019,Savings,2021-01-23,64042.61,Active
ACC00484,CUST00484,BR019,Savings,2024-06-28,21180.75,Active
ACC00596,CUST00596,BR019,Savings,2024-01-12,313709.21,Active
ACC00622,CUST00622,BR019,Savings,2023-10-04,108515.82,Active
ACC00790,CUST00790,BR019,Savings,2023-01-02,150361.76,Active
ACC00885,CUST00885,BR019,Savings,2022-06-17,52883.69,Active
ACC00918,CUST00918,BR019,Savings,2023-09-21,64853.8,Active
ACC00919,CUST00919,BR019,Savings,2021-01-12,103551.65,Active
ACC00955,CUST00955,BR019,Savings,2021-07-15,33837.57,Active
ACC00973,CUST00973,BR019,Savings,2021-11-06,65426.51,Active
ACC01003,CUST01003,BR019,Savings,2021-06-09,318176.04,Active
ACC01071,CUST01071,BR019,Savings,2023-04-03,112001.87,Active
ACC01120,CUST01120,BR019,Savings,2022-04-28,254482.21,Active
ACC01203,CUST01203,BR019,Savings,2023-03-07,97574.38,Active
ACC01256,CUST01256,BR019,Savings,2021-04-30,232900.21,Active
ACC01667,CUST01667,BR019,Savings,2022-04-11,30343.1,Active
ACC01686,CUST01686,BR019,Savings,2024-05-20,128377.75,Active
ACC01749,CUST01749,BR019,Savings,2023-07-24,136558.18,Active
ACC01829,CUST01829,BR019,Savings,2024-01-26,19381.76,Active
ACC01843,CUST01843,BR019,Savings,2022-04-09,40970.95,Active
ACC01855,CUST01855,BR019,Savings,2023-12-01,57797.96,Active
ACC01895,CUST01895,BR019,Savings,2022-03-06,93720.99,Active
ACC01900,CUST01900,BR019,Savings,2022-05-01,76168.77,Active
ACC01901,CUST01901,BR019,Savings,2023-11-23,116639.52,Active
ACC01905,CUST01905,BR019,Savings,2021-07-01,32139.29,Active
ACC02125,CUST02125,BR019,Savings,2021-12-03,113228.77,Active
ACC02130,CUST02130,BR019,Savings,2023-01-31,53943.23,Active
ACC02157,CUST02157,BR019,Savings,2022-06-22,19114.42,Active
ACC02193,CUST02193,BR019,Savings,2023-03-04,20217.01,Active
ACC02252,CUST02252,BR019,Savings,2024-04-12,77686.44,Active
ACC02409,CUST02409,BR019,Savings,2023-01-31,32289.82,Active
ACC02421,CUST02421,BR019,Savings,2024-04-03,105532.81,Active
ACC02603,CUST02603,BR019,Savings,2021-04-07,50204.78,Active
ACC02616,CUST02616,BR019,Savings,2023-06-21,39122.69,Active
ACC02773,CUST02773,BR019,Savings,2023-05-10,119964.56,Active
ACC02801,CUST02801,BR019,Savings,2022-03-10,144319.35,Active
ACC02947,CUST02947,BR019,Savings,2022-05-27,91990.83,Active
ACC02988,CUST02988,BR019,Savings,2022-08-05,40601.06,Active
ACC03015,CUST03015,BR019,Savings,2023-06-08,527586.96,Active
ACC03080,CUST03080,BR019,Savings,2024-03-14,40771.19,Active
ACC03189,CUST03189,BR019,Savings,2022-04-11,146674.26,Active
ACC03252,CUST03252,BR019,Savings,2023-12-30,37292.76,Active
ACC03300,CUST03300,BR019,Savings,2023-09-20,160905.18,Active
ACC03315,CUST03315,BR019,Savings,2021-08-15,130257.03,Active
ACC03408,CUST03408,BR019,Savings,2024-03-23,63496.75,Active
ACC03482,CUST03482,BR019,Savings,2021-07-12,30452.34,Active
ACC03574,CUST03574,BR019,Savings,2024-04-20,41509.76,Active
ACC03760,CUST03760,BR019,Savings,2023-01-06,30475.09,Active
ACC03766,CUST03766,BR019,Savings,2023-07-11,87442.9,Active
ACC03783,CUST03783,BR019,Savings,2022-08-06,31209.2,Active
ACC03786,CUST03786,BR019,Savings,2022-04-05,180406.01,Active
ACC03790,CUST03790,BR019,Savings,2024-02-18,160025.02,Active
ACC03899,CUST03899,BR019,Savings,2022-06-11,69906.3,Active
ACC03957,CUST03957,BR019,Savings,2021-09-16,17404.49,Active
ACC04009,CUST04009,BR019,Savings,2023-08-09,9315.06,Active
ACC04266,CUST04266,BR019,Savings,2023-07-09,54886.53,Active
ACC04291,CUST04291,BR019,Savings,2023-05-28,25096.9,Active
ACC04347,CUST04347,BR019,Savings,2022-12-02,92389.65,Active
ACC04432,CUST04432,BR019,Savings,2024-04-21,9426.92,Active
ACC04497,CUST04497,BR019,Savings,2024-05-28,37776.57,Active
ACC04521,CUST04521,BR019,Savings,2023-11-18,10547.18,Active
ACC04534,CUST04534,BR019,Savings,2022-02-14,46545.76,Active
ACC04577,CUST04577,BR019,Savings,2024-06-06,33837.53,Active
ACC04599,CUST04599,BR019,Savings,2022-02-07,60991.95,Active
ACC04719,CUST04719,BR019,Savings,2022-01-25,13894.13,Active
ACC04923,CUST04923,BR019,Savings,2022-06-10,94273.93,Active
ACC00020,CUST00020,BR047,Savings,2023-09-05,41777.72,Active
ACC00087,CUST00087,BR047,Savings,2023-01-03,14463.32,Active
ACC00095,CUST00095,BR047,Savings,2021-06-19,22482.26,Active
ACC00470,CUST00470,BR047,Savings,2024-04-08,33201.4,Active
ACC00476,CUST00476,BR047,Savings,2022-08-22,98301.38,Active
ACC00544,CUST00544,BR047,Savings,2022-02-17,35270.87,Active
ACC00550,CUST00550,BR047,Savings,2022-07-06,108409.83,Active
ACC00802,CUST00802,BR047,Savings,2023-05-03,33983.39,Active
ACC00820,CUST00820,BR047,Savings,2022-10-27,72486.96,Active
ACC00911,CUST00911,BR047,Savings,2021-06-27,32607.58,Active
ACC01020,CUST01020,BR047,Savings,2021-11-05,100981.86,Active
ACC01321,CUST01321,BR047,Savings,2021-04-14,98699.78,Active
ACC01378,CUST01378,BR047,Savings,2022-02-28,32964.92,Active
ACC01389,CUST01389,BR047,Savings,2023-06-06,269107.02,Active
ACC01434,CUST01434,BR047,Savings,2022-11-01,15333.33,Active
ACC01435,CUST01435,BR047,Savings,2022-08-13,34907.58,Active
ACC01493,CUST01493,BR047,Savings,2023-09-18,103511.27,Active
ACC01537,CUST01537,BR047,Savings,2024-05-04,63535.53,Active
ACC01547,CUST01547,BR047,Savings,2021-08-15,40995.76,Active
ACC01559,CUST01559,BR047,Savings,2022-07-24,73178.25,Active
ACC01606,CUST01606,BR047,Savings,2021-04-29,53119.64,Active
ACC01804,CUST01804,BR047,Savings,2022-02-19,40976.57,Active
ACC01888,CUST01888,BR047,Savings,2023-05-14,81240.25,Active
ACC01943,CUST01943,BR047,Savings,2022-05-18,9045.99,Active
ACC01950,CUST01950,BR047,Savings,2022-11-28,125407.49,Active
ACC01974,CUST01974,BR047,Savings,2021-09-14,45398.99,Active
ACC02049,CUST02049,BR047,Savings,2022-05-28,339007.46,Active
ACC02117,CUST02117,BR047,Savings,2023-10-14,21855.23,Active
ACC02146,CUST02146,BR047,Savings,2023-03-02,42473.86,Active
ACC02173,CUST02173,BR047,Savings,2023-01-16,74317.59,Active
ACC02185,CUST02185,BR047,Savings,2023-08-25,9702.95,Active
ACC02211,CUST02211,BR047,Savings,2024-04-03,465763.57,Active
ACC02214,CUST02214,BR047,Savings,2023-11-26,14724.42,Active
ACC02225,CUST02225,BR047,Savings,2021-04-16,124551.01,Active
ACC02238,CUST02238,BR047,Savings,2022-07-13,35045.6,Active
ACC02239,CUST02239,BR047,Savings,2023-06-22,67329.92,Active
ACC02376,CUST02376,BR047,Savings,2023-08-19,53985.41,Active
ACC02378,CUST02378,BR047,Savings,2023-03-25,58418.32,Active
ACC02505,CUST02505,BR047,Savings,2023-03-22,45770.87,Active
ACC02525,CUST02525,BR047,Savings,2021-08-25,90178.72,Active
ACC02551,CUST02551,BR047,Savings,2022-11-19,89677.7,Active
ACC02569,CUST02569,BR047,Savings,2021-12-31,49913.12,Active
ACC02756,CUST02756,BR047,Savings,2021-03-20,14378.91,Active
ACC02890,CUST02890,BR047,Savings,2021-10-21,25611.16,Active
ACC03060,CUST03060,BR047,Savings,2022-05-31,16456.88,Active
ACC03306,CUST03306,BR047,Savings,2022-11-28,62864.65,Active
ACC03348,CUST03348,BR047,Savings,2024-02-15,129766.99,Active
ACC03394,CUST03394,BR047,Savings,2024-05-23,160525.26,Active
ACC03471,CUST03471,BR047,Savings,2021-08-24,73971.3,Active
ACC03560,CUST03560,BR047,Savings,2022-07-14,189538.85,Active
ACC03563,CUST03563,BR047,Savings,2024-01-07,89039.34,Active
ACC03601,CUST03601,BR047,Savings,2023-08-08,8667.85,Active
ACC03641,CUST03641,BR047,Savings,2021-04-29,143549.08,Active
ACC03768,CUST03768,BR047,Savings,2023-04-14,41407.2,Active
ACC03774,CUST03774,BR047,Savings,2024-02-09,291515.55,Active
ACC03995,CUST03995,BR047,Savings,2023-10-06,115324.05,Active
ACC04027,CUST04027,BR047,Savings,2022-06-12,121489.82,Active
ACC04148,CUST04148,BR047,Savings,2021-04-09,40981.32,Active
ACC04250,CUST04250,BR047,Savings,2023-08-19,103347.29,Active
ACC04308,CUST04308,BR047,Savings,2023-03-18,51533.48,Active
ACC04311,CUST04311,BR047,Savings,2023-02-18,128882.34,Active
ACC04445,CUST04445,BR047,Savings,2023-08-24,46313.94,Active
ACC04501,CUST04501,BR047,Savings,2023-08-30,18427.18,Active
ACC04502,CUST04502,BR047,Savings,2023-01-20,151623.68,Active
ACC04505,CUST04505,BR047,Savings,2022-02-28,49381.67,Active
ACC04513,CUST04513,BR047,Savings,2021-09-01,181152.86,Active
ACC04578,CUST04578,BR047,Savings,2024-06-22,101604.03,Active
ACC04623,CUST04623,BR047,Savings,2022-02-08,129125.77,Active
ACC04714,CUST04714,BR047,Savings,2024-05-22,28819.99,Active
ACC04757,CUST04757,BR047,Savings,2024-02-27,58678.1,Active
ACC04857,CUST04857,BR047,Savings,2023-06-08,65960.19,Active
ACC00012,CUST00012,BR046,Savings,2023-09-19,34807.59,Active
ACC00188,CUST00188,BR046,Savings,2022-05-06,51837.16,Active
ACC00265,CUST00265,BR046,Savings,2022-09-14,82309.04,Active
ACC00400,CUST00400,BR046,Savings,2024-07-07,56330.62,Active
ACC00416,CUST00416,BR046,Savings,2022-03-30,87146.45,Active
ACC00433,CUST00433,BR046,Savings,2022-06-07,20465.73,Active
ACC00642,CUST00642,BR046,Savings,2023-11-21,193825.24,Active
ACC00761,CUST00761,BR046,Savings,2022-12-08,29166.61,Active
ACC00987,CUST00987,BR046,Savings,2021-10-06,44524.25,Active
ACC01025,CUST01025,BR046,Savings,2023-11-07,22488.72,Active
ACC01042,CUST01042,BR046,Savings,2022-05-01,49334.25,Active
ACC01139,CUST01139,BR046,Savings,2021-04-21,167273.22,Active
ACC01190,CUST01190,BR046,Savings,2021-09-14,13090.11,Active
ACC01237,CUST01237,BR046,Savings,2024-01-02,102205.57,Active
ACC01248,CUST01248,BR046,Savings,2024-04-10,31790.41,Active
ACC01374,CUST01374,BR046,Savings,2022-04-22,49018.86,Active
ACC01392,CUST01392,BR046,Savings,2022-07-07,32958.04,Active
ACC01421,CUST01421,BR046,Savings,2021-08-19,62922.14,Active
ACC01426,CUST01426,BR046,Savings,2021-11-03,85241.24,Active
ACC01450,CUST01450,BR046,Savings,2022-06-25,21634.94,Active
ACC01518,CUST01518,BR046,Savings,2023-03-05,40780.99,Active
ACC01671,CUST01671,BR046,Savings,2023-02-05,57672.51,Active
ACC01738,CUST01738,BR046,Savings,2022-01-10,46010.54,Active
ACC01983,CUST01983,BR046,Savings,2022-03-26,121204.49,Active
ACC02123,CUST02123,BR046,Savings,2021-04-15,97070.05,Active
ACC02142,CUST02142,BR046,Savings,2024-03-23,19822.52,Active
ACC02191,CUST02191,BR046,Savings,2021-09-26,104296.54,Active
ACC02197,CUST02197,BR046,Savings,2022-12-31,29622.83,Active
