Loan_ID,Customer_ID,Account_ID,Loan_Type,Loan_Amount,Interest_Rate,Tenure_Months,Loan_Status,Approval_Date
LN01487,CUST02834,ACC02834,Personal,71183,15.64,36,Active,2021-10-01
LN01541,CUST03068,ACC03068,Personal,70669,14.72,36,Active,2024-10-18
LN01552,CUST04590,ACC04590,Personal,688635,12.32,36,Active,2024-09-01
LN01560,CUST00173,ACC00173,Personal,77285,11.54,36,Active,2023-02-24
LN01584,CUST03844,ACC03844,Personal,471938,14.55,36,Active,2023-01-22
LN01590,CUST04878,ACC04878,Personal,175178,8.09,36,Active,2025-03-18
LN01605,CUST00278,ACC00278,Personal,559720,11.91,36,Active,2025-07-02
LN01611,CUST02986,ACC02986,Personal,202981,15.03,36,Active,2023-10-29
LN01626,CUST03331,ACC03331,Personal,128783,13.49,36,Active,2021-12-18
LN01635,CUST00630,ACC00630,Personal,255188,10.33,36,Active,2023-10-21
LN01658,CUST02661,ACC02661,Personal,627873,12.32,36,Active,2022-04-03
LN01659,CUST04475,ACC04475,Personal,552827,14.24,36,Active,2023-09-11
LN01670,CUST03627,ACC03627,Personal,403391,15.67,36,Active,2023-03-30
LN01733,CUST02334,ACC02334,Personal,728805,11.67,36,Active,2023-07-21
LN01777,CUST04855,ACC04855,Personal,68205,7.31,36,Active,2025-07-20
LN01792,CUST02171,ACC02171,Personal,396742,9.42,36,Active,2023-12-13
LN01803,CUST03707,ACC03707,Personal,208220,8.21,36,Active,2025-05-03
LN01821,CUST04077,ACC04077,Personal,779851,8.07,36,Active,2024-07-03
LN01835,CUST03437,ACC03437,Personal,493142,12.47,36,Active,2024-06-29
LN01837,CUST04349,ACC04349,Personal,665151,11.43,36,Active,2023-11-20
LN01842,CUST04242,ACC04242,Personal,767278,12.41,36,Active,2024-09-05
LN01847,CUST03243,ACC03243,Personal,86699,15.06,36,Active,2023-08-20
LN01864,CUST01449,ACC01449,Personal,235195,15.97,36,Active,2023-04-29
LN01887,CUST00494,ACC00494,Personal,70093,9.97,36,Active,2023-09-05
LN01895,CUST01749,ACC01749,Personal,680464,14.22,36,Active,2024-03-13
LN01931,CUST03286,ACC03286,Personal,248755,11.23,36,Active,2023-05-14
LN01934,CUST01549,ACC01549,Personal,191776,15.51,36,Active,2022-05-19
LN01955,CUST03549,ACC03549,Personal,286091,14.99,36,Active,2023-03-13
LN01959,CUST04122,ACC04122,Personal,310286,7.86,36,Active,2024-01-13
LN01962,CUST03902,ACC03902,Personal,255040,11.43,36,Active,2025-03-02
LN01963,CUST03375,ACC03375,Personal,730625,11.16,36,Active,2022-04-06
LN01969,CUST00412,ACC00412,Personal,445610,7.99,36,Active,2024-06-12
LN01983,CUST02275,ACC02275,Personal,762681,11.94,36,Active,2024-02-29
LN02010,CUST00323,ACC00323,Personal,321910,14.22,36,Active,2023-06-26
LN02042,CUST02204,ACC02204,Personal,235580,10.99,36,Active,2024-11-12
LN02046,CUST04956,ACC04956,Personal,306462,15.95,36,Active,2022-08-04
LN02073,CUST00255,ACC00255,Personal,678030,10.05,36,Active,2024-10-01
LN02093,CUST02140,ACC02140,Personal,368715,8.37,36,Active,2024-09-06
LN02103,CUST00946,ACC00946,Personal,190103,14.36,36,Active,2022-04-06
LN02116,CUST04940,ACC04940,Personal,282227,15.87,36,Active,2023-08-13
LN02131,CUST00975,ACC00975,Personal,109427,11.98,36,Active,2023-08-18
LN02149,CUST00118,ACC00118,Personal,85925,12.00,36,Active,2023-05-14
LN02155,CUST00598,ACC00598,Personal,311210,13.51,36,Active,2023-12-31
LN02161,CUST02053,ACC02053,Personal,450173,13.90,36,Active,2023-08-25
LN02174,CUST04642,ACC04642,Personal,306422,15.91,36,Active,2022-03-29
LN02180,CUST04326,ACC04326,Personal,544689,12.69,36,Active,2023-11-24
LN02197,CUST00338,ACC00338,Personal,598657,11.52,36,Active,2023-05-10
LN02210,CUST03751,ACC03751,Personal,614178,11.32,36,Active,2023-05-22
LN02213,CUST00256,ACC00256,Personal,780370,15.12,36,Active,2023-09-21
LN02215,CUST04484,ACC04484,Personal,500592,7.80,36,Active,2022-12-31
LN02220,CUST02848,ACC02848,Personal,142444,11.34,36,Active,2025-09-07
LN02229,CUST04283,ACC04283,Personal,371469,12.06,36,Active,2022-05-12
LN02260,CUST02827,ACC02827,Personal,623503,9.99,36,Active,2024-01-26
LN02261,CUST02251,ACC02251,Personal,686134,11.40,36,Active,2024-09-26
LN02277,CUST04868,ACC04868,Personal,234324,11.13,36,Active,2022-06-06
LN02280,CUST02543,ACC02543,Personal,347360,7.28,36,Active,2023-12-02
LN02291,CUST02705,ACC02705,Personal,590864,13.00,36,Active,2025-01-25
LN02321,CUST01253,ACC01253,Personal,524065,15.92,36,Active,2025-11-05
LN02327,CUST04584,ACC04584,Personal,235486,8.95,36,Active,2023-01-06
LN02337,CUST02622,ACC02622,Personal,451507,11.40,36,Active,2023-04-10
LN02338,CUST02183,ACC02183,Personal,764332,14.86,36,Active,2023-02-11
LN02348,CUST01049,ACC01049,Personal,733004,10.56,36,Active,2022-11-30
LN02353,CUST04137,ACC04137,Personal,535188,12.97,36,Active,2022-09-03
LN02358,CUST00125,ACC00125,Personal,519091,10.61,36,Active,2023-08-15
LN02368,CUST04818,ACC04818,Personal,330826,10.26,36,Active,2024-05-09
LN02390,CUST02708,ACC02708,Personal,636280,11.38,36,Active,2023-06-19
LN02393,CUST00148,ACC00148,Personal,120302,14.50,36,Active,2023-04-11
LN02408,CUST01932,ACC01932,Personal,507325,13.05,36,Active,2023-06-04
LN02422,CUST04585,ACC04585,Personal,54858,8.56,36,Active,2024-07-12
LN02432,CUST03903,ACC03903,Personal,469612,12.97,36,Active,2022-12-27
LN02441,CUST04332,ACC04332,Personal,201364,10.92,36,Active,2024-07-03
LN02463,CUST03971,ACC03971,Personal,358637,14.77,36,Active,2025-03-01
LN02464,CUST01646,ACC01646,Personal,282910,7.32,36,Active,2021-08-25
LN02495,CUST02395,ACC02395,Personal,674831,14.92,36,Active,2023-01-06
LN02497,CUST03474,ACC03474,Personal,62755,13.21,36,Active,2024-10-04
LN02529,CUST01463,ACC01463,Personal,768808,10.87,36,Active,2022-12-01
LN02544,CUST02929,ACC02929,Personal,115332,13.42,36,Active,2024-01-10
LN02584,CUST02523,ACC02523,Personal,132840,8.99,36,Active,2023-03-17
LN02630,CUST00593,ACC00593,Personal,134044,10.86,36,Active,2025-08-07
LN02632,CUST01811,ACC01811,Personal,661774,11.70,36,Active,2023-11-07
LN02666,CUST01760,ACC01760,Personal,118588,15.80,36,Active,2025-01-22
LN02677,CUST01648,ACC01648,Personal,528934,11.84,36,Active,2023-10-11
LN02681,CUST00317,ACC00317,Personal,392470,7.27,36,Active,2024-06-18
LN02683,CUST03225,ACC03225,Personal,205531,14.72,36,Active,2025-04-16
LN02707,CUST00583,ACC00583,Personal,629549,15.22,36,Active,2024-01-15
LN02717,CUST01833,ACC01833,Personal,709772,12.58,36,Active,2022-03-01
LN02723,CUST03819,ACC03819,Personal,554230,15.63,36,Active,2022-08-03
LN02732,CUST02832,ACC02832,Personal,535321,15.23,36,Active,2022-09-24
LN02734,CUST04788,ACC04788,Personal,103542,13.95,36,Active,2023-12-21
LN02737,CUST02212,ACC02212,Personal,617511,11.48,36,Active,2023-06-12
LN02750,CUST04107,ACC04107,Personal,580598,8.59,36,Active,2023-04-21
LN02784,CUST03086,ACC03086,Personal,214809,8.17,36,Active,2022-06-16
LN02817,CUST03666,ACC03666,Personal,246138,7.39,36,Active,2023-09-29
LN02840,CUST03251,ACC03251,Personal,678288,12.44,36,Active,2022-06-27
LN02843,CUST04210,ACC04210,Personal,407795,14.39,36,Active,2025-01-18
LN02846,CUST04267,ACC04267,Personal,395068,7.68,36,Active,2022-12-30
LN02854,CUST03208,ACC03208,Personal,208701,7.35,36,Active,2024-10-08
LN02873,CUST02390,ACC02390,Personal,86451,11.40,36,Active,2025-10-23
LN02895,CUST03104,ACC03104,Personal,422581,13.77,36,Active,2022-06-19
LN02910,CUST03369,ACC03369,Personal,100168,10.18,36,Active,2026-04-26
LN02914,CUST00810,ACC00810,Personal,78703,9.92,36,Active,2023-09-13
LN02929,CUST04820,ACC04820,Personal,299777,13.54,36,Active,2023-03-13
LN02936,CUST03144,ACC03144,Personal,320745,7.58,36,Active,2023-06-18
LN02948,CUST04087,ACC04087,Personal,338742,16.00,36,Active,2024-12-18
LN02966,CUST02927,ACC02927,Personal,53048,8.56,36,Active,2023-03-12
LN03011,CUST03572,ACC03572,Personal,303005,13.66,36,Active,2022-08-19
LN03017,CUST02329,ACC02329,Personal,97193,11.56,36,Active,2025-05-31
LN03035,CUST03485,ACC03485,Personal,436424,11.53,36,Active,2023-09-01
LN03066,CUST01142,ACC01142,Personal,664004,15.36,36,Active,2023-05-22
LN03130,CUST00114,ACC00114,Personal,292583,14.19,36,Active,2024-12-13
LN03153,CUST03689,ACC03689,Personal,749280,14.52,36,Active,2025-04-01
LN03168,CUST00531,ACC00531,Personal,458564,10.08,36,Active,2023-07-30
LN03182,CUST03764,ACC03764,Personal,266261,8.08,36,Active,2025-03-20
LN03185,CUST02138,ACC02138,Personal,219373,12.83,36,Active,2023-07-26
LN03216,CUST01717,ACC01717,Personal,628211,11.77,36,Active,2022-08-25
LN03230,CUST01530,ACC01530,Personal,436080,9.13,36,Active,2025-07-20
LN03243,CUST04746,ACC04746,Personal,347487,9.86,36,Active,2024-09-06
LN03257,CUST01875,ACC01875,Personal,177989,14.07,36,Active,2023-12-16
LN03263,CUST03606,ACC03606,Personal,626738,10.08,36,Active,2022-10-09
LN03270,CUST04764,ACC04764,Personal,303522,14.20,36,Active,2023-08-30
LN03272,CUST03280,ACC03280,Personal,535219,10.18,36,Active,2023-10-17
LN03353,CUST04370,ACC04370,Personal,751078,15.69,36,Active,2025-07-28
LN03378,CUST01636,ACC01636,Personal,94876,10.45,36,Active,2025-10-04
LN03419,CUST01843,ACC01843,Personal,457999,7.33,36,Active,2023-03-08
LN03438,CUST00429,ACC00429,Personal,285958,10.55,36,Active,2024-07-05
LN03440,CUST02743,ACC02743,Personal,296074,15.47,36,Active,2025-01-13
LN03466,CUST00925,ACC00925,Personal,678479,13.72,36,Active,2021-07-09
LN03489,CUST02120,ACC02120,Personal,193268,14.69,36,Active,2024-05-07
LN00002,CUST02242,ACC02242,Personal,223971,11.00,180,Active,2025-11-16
LN00025,CUST00806,ACC00806,Personal,553749,15.66,180,Active,2022-12-14
LN00035,CUST04317,ACC04317,Personal,238652,10.59,180,Active,2022-05-08
LN00053,CUST02151,ACC02151,Personal,386822,12.72,180,Active,2024-04-08
LN00064,CUST03367,ACC03367,Personal,585848,13.33,180,Active,2023-08-07
LN00113,CUST04061,ACC04061,Personal,185278,13.83,180,Active,2023-10-11
LN00119,CUST04785,ACC04785,Personal,639677,13.50,180,Active,2024-12-06
LN00137,CUST04223,ACC04223,Personal,339954,15.47,180,Active,2024-07-05
LN00166,CUST02267,ACC02267,Personal,609767,13.35,180,Active,2023-11-28
LN00187,CUST03905,ACC03905,Personal,405266,12.29,180,Active,2023-01-26
LN00198,CUST01157,ACC01157,Personal,66227,14.09,180,Active,2023-08-11
LN00199,CUST00408,ACC00408,Personal,105452,8.99,180,Active,2024-10-03
LN00214,CUST04741,ACC04741,Personal,486837,7.12,180,Active,2025-03-05
LN00219,CUST02581,ACC02581,Personal,472788,15.88,180,Active,2024-01-07
LN00227,CUST03568,ACC03568,Personal,720664,10.38,180,Active,2024-04-26
LN00230,CUST01425,ACC01425,Personal,428326,13.84,180,Active,2024-04-15
LN00305,CUST04976,ACC04976,Personal,226296,13.43,180,Active,2023-03-26
LN00321,CUST04732,ACC04732,Personal,770997,8.76,180,Active,2023-03-05
LN00327,CUST04366,ACC04366,Personal,709772,10.09,180,Active,2024-06-08
LN00339,CUST04385,ACC04385,Personal,62888,13.51,180,Active,2021-11-20
LN00352,CUST01925,ACC01925,Personal,397486,11.34,180,Active,2023-03-20
LN00356,CUST01533,ACC01533,Personal,163569,11.92,180,Active,2024-10-02
LN00386,CUST04643,ACC04643,Personal,517331,9.41,180,Active,2024-10-02
LN00394,CUST04355,ACC04355,Personal,59659,15.57,180,Active,2023-06-01
LN00397,CUST02037,ACC02037,Personal,145274,9.03,180,Active,2022-11-21
LN00401,CUST03990,ACC03990,Personal,180575,7.16,180,Active,2025-08-23
LN00431,CUST03475,ACC03475,Personal,615428,13.01,180,Active,2022-06-13
LN00441,CUST00822,ACC00822,Personal,582614,11.00,180,Active,2026-02-17
LN00445,CUST01844,ACC01844,Personal,147745,12.72,180,Active,2022-11-29
LN00452,CUST01618,ACC01618,Personal,238813,13.51,180,Active,2023-12-05
LN00453,CUST04131,ACC04131,Personal,325818,9.16,180,Active,2024-05-19
LN00461,CUST01035,ACC01035,Personal,256431,10.13,180,Active,2025-01-01
LN00477,CUST01721,ACC01721,Personal,134912,10.82,180,Active,2021-12-08
LN00485,CUST03224,ACC03224,Personal,690069,11.91,180,Active,2022-12-19
LN00495,CUST01958,ACC01958,Personal,69180,12.25,180,Active,2022-02-06
LN00502,CUST03107,ACC03107,Personal,195095,8.44,180,Active,2024-03-07
LN00543,CUST01775,ACC01775,Personal,375124,11.40,180,Active,2024-02-18
LN00583,CUST01823,ACC01823,Personal,118422,15.57,180,Active,2023-12-12
LN00589,CUST03023,ACC03023,Personal,274813,10.56,180,Active,2022-10-01
LN00592,CUST03296,ACC03296,Personal,567566,9.85,180,Active,2025-03-26
LN00599,CUST03429,ACC03429,Personal,280655,15.84,180,Active,2023-12-27
LN00608,CUST02823,ACC02823,Personal,796314,14.85,180,Active,2023-08-17
LN00612,CUST04264,ACC04264,Personal,688959,12.33,180,Active,2021-12-09
LN00616,CUST01015,ACC01015,Personal,341909,15.69,180,Active,2024-11-14
LN00625,CUST03314,ACC03314,Personal,687327,11.76,180,Active,2023-10-16
LN00652,CUST03859,ACC03859,Personal,563789,11.24,180,Active,2024-02-11
LN00681,CUST03467,ACC03467,Personal,561732,13.47,180,Active,2023-02-09
LN00711,CUST03663,ACC03663,Personal,467507,11.00,180,Active,2023-09-13
LN00807,CUST03977,ACC03977,Personal,682166,12.63,180,Active,2021-10-10
LN00853,CUST03364,ACC03364,Personal,639072,13.43,180,Active,2024-10-19
LN00859,CUST04492,ACC04492,Personal,139852,11.79,180,Active,2023-05-13
LN00879,CUST03667,ACC03667,Personal,691954,9.05,180,Active,2025-08-06
LN00880,CUST03004,ACC03004,Personal,362105,8.81,180,Active,2023-09-06
LN00882,CUST00435,ACC00435,Personal,450902,9.44,180,Active,2024-09-14
LN00904,CUST03333,ACC03333,Personal,271989,10.46,180,Active,2023-08-21
LN00909,CUST02491,ACC02491,Personal,177629,15.25,180,Active,2024-05-31
LN00914,CUST02867,ACC02867,Personal,460909,11.45,180,Active,2023-09-04
LN00915,CUST00579,ACC00579,Personal,561169,7.73,180,Active,2023-11-12
LN00920,CUST01802,ACC01802,Personal,212751,8.62,180,Active,2024-11-17
LN00953,CUST02794,ACC02794,Personal,131873,13.24,180,Active,2025-08-07
LN01003,CUST01590,ACC01590,Personal,572624,12.43,180,Active,2021-08-19
LN01014,CUST03958,ACC03958,Personal,428888,10.29,180,Active,2025-09-03
LN01015,CUST04779,ACC04779,Personal,504078,10.17,180,Active,2022-09-20
LN01072,CUST02630,ACC02630,Personal,194197,14.05,180,Active,2024-10-29
LN01082,CUST00380,ACC00380,Personal,315659,9.01,180,Active,2022-11-13
LN01097,CUST02725,ACC02725,Personal,215445,12.40,180,Active,2025-03-10
LN01099,CUST04811,ACC04811,Personal,322573,10.66,180,Active,2023-08-22
LN01106,CUST00227,ACC00227,Personal,433395,14.54,180,Active,2021-10-06
LN01158,CUST00238,ACC00238,Personal,400586,15.23,180,Active,2022-02-17
LN01193,CUST02387,ACC02387,Personal,738299,12.12,180,Active,2023-03-12
LN01222,CUST02979,ACC02979,Personal,693376,10.13,180,Active,2023-11-09
LN01256,CUST03466,ACC03466,Personal,627826,7.74,180,Active,2023-06-05
LN01261,CUST01576,ACC01576,Personal,528544,10.93,180,Active,2024-09-15
LN01281,CUST03780,ACC03780,Personal,639119,10.81,180,Active,2021-06-19
LN01307,CUST02569,ACC02569,Personal,726491,7.63,180,Active,2022-09-10
LN01321,CUST00928,ACC00928,Personal,141125,11.83,180,Active,2024-08-12
LN01355,CUST02104,ACC02104,Personal,514569,8.96,180,Active,2025-03-17
LN01363,CUST03218,ACC03218,Personal,457337,9.32,180,Active,2021-10-18
LN01369,CUST03223,ACC03223,Personal,532114,8.51,180,Active,2022-05-27
LN01375,CUST04535,ACC04535,Personal,677536,9.49,180,Active,2023-10-26
LN01422,CUST02915,ACC02915,Personal,530158,10.06,180,Active,2023-06-29
LN01428,CUST00692,ACC00692,Personal,423611,8.71,180,Active,2023-11-13
LN01467,CUST01840,ACC01840,Personal,257194,10.85,180,Active,2022-12-26
LN01469,CUST03027,ACC03027,Personal,765039,11.88,180,Active,2023-04-11
LN01478,CUST02383,ACC02383,Personal,198917,15.99,180,Active,2023-01-15
LN01488,CUST03857,ACC03857,Personal,767027,12.04,180,Active,2023-09-15
LN01498,CUST03226,ACC03226,Personal,187152,13.80,180,Active,2023-05-24
LN01536,CUST02374,ACC02374,Personal,502956,8.68,180,Active,2024-06-04
LN01551,CUST01564,ACC01564,Personal,703123,12.42,180,Active,2024-04-05
LN01565,CUST02036,ACC02036,Personal,110185,14.80,180,Active,2024-12-21
LN01568,CUST00485,ACC00485,Personal,371502,15.41,180,Active,2022-09-07
LN01572,CUST01599,ACC01599,Personal,633762,13.38,180,Active,2024-03-24
LN01587,CUST00664,ACC00664,Personal,108360,12.74,180,Active,2024-12-17
LN01601,CUST02761,ACC02761,Personal,148413,11.05,180,Active,2024-03-28
LN01620,CUST01810,ACC01810,Personal,705654,13.67,180,Active,2024-12-28
LN01629,CUST04488,ACC04488,Personal,726862,11.09,180,Active,2025-01-02
LN01630,CUST03678,ACC03678,Personal,59671,8.15,180,Active,2023-04-29
LN01637,CUST04857,ACC04857,Personal,397470,15.59,180,Active,2023-11-01
LN01640,CUST02627,ACC02627,Personal,743626,11.56,180,Active,2025-08-31
LN01651,CUST00065,ACC00065,Personal,222039,14.68,180,Active,2023-08-31
LN01688,CUST03968,ACC03968,Personal,156224,10.50,180,Active,2024-02-10
LN01707,CUST03982,ACC03982,Personal,215881,11.75,180,Active,2022-11-02
LN01715,CUST04854,ACC04854,Personal,96303,8.55,180,Active,2021-08-09
LN01726,CUST03503,ACC03503,Personal,708823,12.88,180,Active,2023-10-29
LN01728,CUST03011,ACC03011,Personal,156327,11.51,180,Active,2024-05-24
LN01743,CUST01607,ACC01607,Personal,114179,9.25,180,Active,2023-06-13
LN01793,CUST03133,ACC03133,Personal,331028,10.81,180,Active,2022-11-14
LN01795,CUST00677,ACC00677,Personal,536431,10.60,180,Active,2021-09-11
LN01797,CUST02143,ACC02143,Personal,258712,10.49,180,Active,2025-09-30
LN01814,CUST02004,ACC02004,Personal,183983,10.09,180,Active,2025-07-16
LN01830,CUST03501,ACC03501,Personal,778664,10.20,180,Active,2023-07-23
LN01840,CUST03778,ACC03778,Personal,490079,14.84,180,Active,2024-04-05
LN01845,CUST02065,ACC02065,Personal,564187,13.21,180,Active,2024-08-22
LN01856,CUST04509,ACC04509,Personal,738396,9.48,180,Active,2024-01-16
LN01867,CUST04324,ACC04324,Personal,460764,12.71,180,Active,2022-12-19
LN01923,CUST04030,ACC04030,Personal,647125,8.87,180,Active,2023-02-12
LN01933,CUST04287,ACC04287,Personal,318525,7.84,180,Active,2021-12-17
LN01956,CUST03913,ACC03913,Personal,411375,7.71,180,Active,2024-05-21
LN01960,CUST02509,ACC02509,Personal,795180,12.16,180,Active,2025-07-12
LN01970,CUST02707,ACC02707,Personal,196171,14.01,180,Active,2025-10-14
LN01987,CUST04226,ACC04226,Personal,534292,12.84,180,Active,2024-06-17
LN01999,CUST01674,ACC01674,Personal,473675,13.81,180,Active,2024-02-13
LN02006,CUST01184,ACC01184,Personal,442327,13.59,180,Active,2023-11-30
LN02008,CUST04848,ACC04848,Personal,602580,8.06,180,Active,2023-03-31
LN02044,CUST02257,ACC02257,Personal,158223,10.69,180,Active,2024-10-29
LN02069,CUST01281,ACC01281,Personal,496679,8.91,180,Active,2022-10-29
LN02072,CUST02675,ACC02675,Personal,619305,9.82,180,Active,2022-10-09
LN02076,CUST02327,ACC02327,Personal,265328,13.52,180,Active,2025-01-29
LN02162,CUST04736,ACC04736,Personal,503017,7.52,180,Active,2023-04-28
LN02184,CUST04166,ACC04166,Personal,441318,9.25,180,Active,2023-11-13
LN02200,CUST03247,ACC03247,Personal,615493,7.35,180,Active,2024-10-08
LN02211,CUST01348,ACC01348,Personal,226551,13.27,180,Active,2022-05-23
LN02318,CUST02271,ACC02271,Personal,131249,8.72,180,Active,2024-08-01
LN02328,CUST00447,ACC00447,Personal,518144,7.74,180,Active,2025-04-12
LN02361,CUST01945,ACC01945,Personal,127168,10.18,180,Active,2022-12-30
LN02364,CUST02363,ACC02363,Personal,194967,11.76,180,Active,2021-11-17
LN02382,CUST01362,ACC01362,Personal,681899,11.97,180,Active,2022-05-18
LN02406,CUST02260,ACC02260,Personal,213508,8.29,180,Active,2024-03-01
